timestamp,log_level,component,message
2025-03-02 12:15:30,ERROR,DBServer,Database connection timeout
2025-03-02 12:16:45,WARNING,WebServer,CPU usage high
2025-03-02 12:17:50,INFO,Security,Multiple failed login attempts detected
2025-03-02 12:18:15,ERROR,WebServer,High network latency detected
2025-03-02 12:19:05,CRITICAL,DBServer,Database connection lost
2025-03-02 12:20:30,WARNING,WebServer,Memory leak detected in process
2025-03-02 12:21:10,ERROR,WebServer,High request rate detected
2025-03-02 12:22:55,INFO,Security,Unauthorized access attempt detected
2025-03-02 12:23:40,WARNING,WebServer,CPU usage high
2025-03-02 12:24:20,ERROR,DBServer,Query execution taking too long
